id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow5.87.1,3159.0,67209282#0_0,5.1,0.0,2.0,3240.0,-67504621_0,163.75,11.4,81.0,732.17,11.0,1,0.0,27.52,0,tripinfo_flow5.87.1 emissions_flow5.87.1,car_fast,0.87,,
flow5.87.2,3163.0,67209282#0_0,5.1,0.0,6.0,3241.0,-67504621_0,163.75,12.23,78.0,732.17,10.0,1,0.0,30.96,0,tripinfo_flow5.87.2 emissions_flow5.87.2,car_fast,1.0,,
flow5.87.3,3166.0,67209282#0_0,5.1,0.0,9.0,3244.0,-67504621_0,163.75,13.38,78.0,732.17,10.0,1,0.0,29.4,0,tripinfo_flow5.87.3 emissions_flow5.87.3,car_fast,1.0,,
flow5.87.4,3169.0,67209282#0_0,5.1,0.0,12.0,3246.0,-67504621_0,163.75,14.19,77.0,732.17,10.0,1,0.0,32.07,0,tripinfo_flow5.87.4 emissions_flow5.87.4,car_fast,1.1,,
flow5.87.5,3171.0,67209282#0_0,5.1,0.0,14.0,3250.0,-67504621_0,163.75,14.11,79.0,732.17,7.0,1,0.0,31.53,0,tripinfo_flow5.87.5 emissions_flow5.87.5,car_fast,1.03,,
flow5.87.6,3174.0,67209282#0_0,5.1,0.0,17.0,3255.0,-67504621_0,163.75,10.97,81.0,732.17,5.0,1,0.0,28.46,0,tripinfo_flow5.87.6 emissions_flow5.87.6,car_fast,0.88,,
flow1.69,2750.0,-355037966#4_0,5.1,0.0,0.0,3340.0,758926622_0,154.47,19.69,590.0,1332.87,12.0,1,451.0,47.4,0,tripinfo_flow1.69 emissions_flow1.69,car_fast,1.1,,
flow1.69.1,2753.0,-355037966#4_0,5.1,0.0,3.0,3343.0,758926622_0,154.47,19.2,590.0,1332.87,7.0,1,451.0,46.99,0,tripinfo_flow1.69.1 emissions_flow1.69.1,car_fast,1.08,,
flow1.69.2,2755.0,-355037966#4_0,5.1,0.0,5.0,3347.0,758926622_0,154.47,19.24,592.0,1332.87,6.0,1,451.0,47.27,0,tripinfo_flow1.69.2 emissions_flow1.69.2,car_fast,1.05,,
flow1.69.3,2758.0,-355037966#4_0,5.1,0.0,8.0,3351.0,758926622_0,154.47,18.72,593.0,1332.87,0.0,0,451.0,38.99,0,tripinfo_flow1.69.3 emissions_flow1.69.3,car_fast,0.9,,
flow1.69.4,2761.0,-355037966#4_0,5.1,0.0,11.0,3361.0,758926622_0,154.47,19.02,600.0,1332.87,5.0,1,451.0,47.82,0,tripinfo_flow1.69.4 emissions_flow1.69.4,car_fast,0.93,,
