id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow1.34.6,1623.0,-355037966#4_0,5.1,0.0,18.0,3739.0,758926622_0,154.47,12.9,2116.0,1332.87,16.0,2,1955.0,44.55,0,tripinfo_flow1.34.6 emissions_flow1.34.6,car,0.94,,
flow4.95.1,3454.0,-758926622_0,5.1,0.0,3.0,3763.0,132346057#5_0,344.19,5.8,309.0,1923.34,43.0,1,0.0,98.79,0,tripinfo_flow4.95.1 emissions_flow4.95.1,car,0.79,,
flow4.95.2,3457.0,-758926622_0,5.1,0.0,6.0,3765.0,132346057#5_0,344.19,7.82,308.0,1923.34,44.0,1,0.0,138.86,0,tripinfo_flow4.95.2 emissions_flow4.95.2,car,1.05,,
flow4.95.3,3460.0,-758926622_0,5.1,0.0,9.0,3767.0,132346057#5_0,344.19,9.25,307.0,1923.34,43.0,1,0.0,143.63,0,tripinfo_flow4.95.3 emissions_flow4.95.3,car,1.14,,
flow4.95.4,3463.0,-758926622_0,5.1,0.0,12.0,3770.0,132346057#5_0,344.19,8.26,307.0,1923.34,43.0,1,0.0,134.01,0,tripinfo_flow4.95.4 emissions_flow4.95.4,car,1.01,,
flow4.95.5,3466.0,-758926622_0,5.1,0.0,15.0,3772.0,132346057#5_0,344.19,8.79,306.0,1923.34,43.0,1,0.0,139.11,0,tripinfo_flow4.95.5 emissions_flow4.95.5,car,1.08,,
flow4.95.6,3469.0,-758926622_0,5.1,0.0,18.0,3774.0,132346057#5_0,344.19,6.95,305.0,1923.34,43.0,1,0.0,129.81,0,tripinfo_flow4.95.6 emissions_flow4.95.6,car,0.99,,
flow4.96,3481.0,-758926622_0,5.1,0.0,0.0,3776.0,132346057#5_0,344.19,7.98,295.0,1923.34,8.0,1,0.0,62.61,0,tripinfo_flow4.96 emissions_flow4.96,car_slow,1.14,,
flow1.25,943.0,-355037966#4_0,5.1,0.0,0.0,3798.0,758926622_0,154.47,13.6,2855.0,1332.87,1.0,1,2705.0,36.74,0,tripinfo_flow1.25 emissions_flow1.25,car,0.98,,
flow4.96.1,3484.0,-758926622_0,5.1,0.0,3.0,3817.0,132346057#5_0,344.19,7.53,333.0,1923.34,56.0,2,0.0,98.73,0,tripinfo_flow4.96.1 emissions_flow4.96.1,car_slow,0.99,,
