id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow5.53.5,2113.0,67209282#0_0,5.1,0.0,15.0,2197.0,-67504621_0,163.75,12.32,84.0,732.17,0.0,0,0.0,26.19,0,tripinfo_flow5.53.5 emissions_flow5.53.5,car,0.92,,
flow5.53.6,2116.0,67209282#0_0,5.1,0.0,18.0,2199.0,-67504621_0,163.75,13.5,83.0,732.17,0.0,0,0.0,27.83,0,tripinfo_flow5.53.6 emissions_flow5.53.6,car,1.03,,
flow1.34,1605.0,-355037966#4_0,5.1,0.0,0.0,2225.0,758926632#3_0,91.01,7.94,620.0,450.84,37.0,5,489.0,85.17,1,tripinfo_flow1.34 emissions_flow1.34,car,1.0,,
flow4.49,1963.0,-758926622_0,5.1,0.0,0.0,2231.0,132346057#5_0,344.19,7.55,268.0,1923.34,50.0,2,0.0,92.34,0,tripinfo_flow4.49 emissions_flow4.49,car,0.98,,
flow4.49.1,1966.0,-758926622_0,5.1,0.0,3.0,2233.0,132346057#5_0,344.19,7.89,267.0,1923.34,48.0,3,0.0,101.19,0,tripinfo_flow4.49.1 emissions_flow4.49.1,car,1.08,,
flow4.49.2,1969.0,-758926622_0,5.1,0.0,6.0,2235.0,132346057#5_0,344.19,9.11,266.0,1923.34,43.0,2,0.0,109.17,0,tripinfo_flow4.49.2 emissions_flow4.49.2,car,1.24,,
flow1.34.1,1608.0,-355037966#4_0,5.1,0.0,3.0,2236.0,758926632#3_0,91.01,8.88,628.0,450.84,40.0,5,492.0,91.14,1,tripinfo_flow1.34.1 emissions_flow1.34.1,car,1.07,,
flow4.49.3,1972.0,-758926622_0,5.1,0.0,9.0,2237.0,132346057#5_0,344.19,7.72,265.0,1923.34,39.0,3,0.0,97.2,0,tripinfo_flow4.49.3 emissions_flow4.49.3,car,1.06,,
flow4.49.4,1974.0,-758926622_0,5.1,0.0,11.0,2239.0,132346057#5_0,344.19,8.54,265.0,1923.34,32.0,2,0.0,98.48,0,tripinfo_flow4.49.4 emissions_flow4.49.4,car,1.09,,
flow1.34.2,1611.0,-355037966#4_0,5.1,0.0,6.0,2241.0,758926632#3_0,91.01,8.77,630.0,450.84,35.0,4,489.0,97.98,1,tripinfo_flow1.34.2 emissions_flow1.34.2,car,1.13,,
flow1.34.3,1614.0,-355037966#4_0,5.1,0.0,9.0,2247.0,758926632#3_0,91.01,8.36,633.0,450.84,50.0,5,489.0,100.65,1,tripinfo_flow1.34.3 emissions_flow1.34.3,car,1.11,,
flow4.49.5,1978.0,-758926622_0,5.1,0.0,15.0,2247.0,132346057#5_0,344.19,6.78,269.0,1923.34,22.0,3,0.0,87.29,0,tripinfo_flow4.49.5 emissions_flow4.49.5,car,0.94,,
