id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,emissions
flow5.19_truck,1556.0,67209282#0_0,5.1,0.0,0.78,1616.0,-67504621_0,163.75,12.73,60.0,732.17,0.0,0,0.0,11.56,0,tripinfo_flow5.19_truck emissions_flow5.19_truck,car_fast,0.98,,
flow4.24.2,1307.0,-758926622_0,5.1,0.0,17.0,1618.0,132346057#5_0,344.19,7.95,311.0,1923.34,33.0,3,0.0,136.74,0,tripinfo_flow4.24.2 emissions_flow4.24.2,car,0.99,,
flow4.24.3,1310.0,-758926622_0,5.1,0.0,20.0,1620.0,132346057#5_0,344.19,7.75,310.0,1923.34,32.0,3,0.0,139.56,0,tripinfo_flow4.24.3 emissions_flow4.24.3,car,1.02,,
flow4.24.4,1313.0,-758926622_0,5.1,0.0,23.0,1623.0,132346057#5_0,344.19,7.94,310.0,1923.34,30.0,3,0.0,137.52,0,tripinfo_flow4.24.4 emissions_flow4.24.4,car,1.01,,
flow5.19_truck.1,1559.0,67209282#0_0,5.1,0.0,3.78,1623.0,-67504621_0,163.75,12.23,64.0,732.17,0.0,0,0.0,12.09,0,tripinfo_flow5.19_truck.1 emissions_flow5.19_truck.1,car_fast,0.89,,
flow5.19_truck.2,1562.0,67209282#0_0,5.1,0.0,6.78,1625.0,-67504621_0,163.75,14.09,63.0,732.17,0.0,0,0.0,18.27,0,tripinfo_flow5.19_truck.2 emissions_flow5.19_truck.2,car_fast,1.1,,
flow5.19_truck.3,1565.0,67209282#0_0,5.1,0.0,9.78,1627.0,-67504621_0,163.75,15.41,62.0,732.17,0.0,0,0.0,18.85,0,tripinfo_flow5.19_truck.3 emissions_flow5.19_truck.3,car_fast,1.19,,
flow5.19_truck.4,1568.0,67209282#0_0,5.1,0.0,12.78,1631.0,-67504621_0,163.75,13.37,63.0,732.17,0.0,0,0.0,13.93,0,tripinfo_flow5.19_truck.4 emissions_flow5.19_truck.4,car_fast,0.97,,
flow4.34,1334.0,-758926622_0,5.1,0.0,0.0,1649.0,132346057#5_0,344.19,7.28,315.0,1923.34,67.0,2,0.0,138.68,0,tripinfo_flow4.34 emissions_flow4.34,car,0.97,,
flow4.34.1,1337.0,-758926622_0,5.1,0.0,3.0,1651.0,132346057#5_0,344.19,8.5,314.0,1923.34,65.0,2,0.0,144.57,0,tripinfo_flow4.34.1 emissions_flow4.34.1,car,1.04,,
flow4.34.2,1340.0,-758926622_0,5.1,0.0,6.0,1653.0,132346057#5_0,344.19,8.54,313.0,1923.34,65.0,2,0.0,150.52,0,tripinfo_flow4.34.2 emissions_flow4.34.2,car,1.14,,
flow4.34.3,1343.0,-758926622_0,5.1,0.0,9.0,1665.0,132346057#5_0,344.19,8.86,322.0,1923.34,77.0,4,0.0,157.32,0,tripinfo_flow4.34.3 emissions_flow4.34.3,car,1.11,,
flow4.34.4,1346.0,-758926622_0,5.1,0.0,12.0,1683.0,132346057#5_0,344.19,7.21,337.0,1923.34,69.0,3,0.0,154.71,0,tripinfo_flow4.34.4 emissions_flow4.34.4,car,0.93,,
flow4.32,1349.0,-758926622_0,5.1,0.0,11.0,1692.0,132346057#5_0,344.19,7.1,343.0,1923.34,44.0,1,0.0,98.65,0,tripinfo_flow4.32 emissions_flow4.32,car_slow,0.88,,
flow4.32.1,1353.0,-758926622_0,5.1,0.0,15.0,1694.0,132346057#5_0,344.19,7.74,341.0,1923.34,43.0,1,0.0,107.08,0,tripinfo_flow4.32.1 emissions_flow4.32.1,car_slow,0.99,,
